	logFC	AveExpr	t	P.Value	adj.P.Val	B
RGCC	-1.5624377175	3.109574992	-6.6676404955	9.25E-11	2.19E-09	13.7891430532
ASF1B	3.036257702	4.3483771932	6.6638750362	9.47E-11	2.23E-09	14.0310938312
FRMD3	-1.9116448042	0.8655272014	-6.6631713036	9.51E-11	2.24E-09	13.9227528646
SH3D19	-1.3158844619	4.7158214752	-6.6588574909	9.76E-11	2.29E-09	13.6463338126
KIF20A	3.6132320205	4.294417692	6.6564852026	9.90E-11	2.32E-09	14.0068899311
CC2D2A	-1.3798895376	2.5894946358	-6.6530813551	1.01E-10	2.37E-09	13.7601205664
MTFR2	2.5696156728	1.9000748789	6.6461664506	1.05E-10	2.47E-09	13.9340468984
HSPA2	-2.0108806418	3.2821803199	-6.6428932461	1.08E-10	2.51E-09	13.5932471011
CXorf36	-1.5805940416	2.5641187029	-6.6404879905	1.09E-10	2.54E-09	13.6846018551
SMIM10	-1.7821024404	1.2754747229	-6.6368218726	1.12E-10	2.60E-09	13.7887986482
PDE7B	-1.9901898384	1.3949535184	-6.6279598864	1.18E-10	2.74E-09	13.6720177772
ARMCX1	-2.0244474288	1.9253603343	-6.6211418825	1.23E-10	2.85E-09	13.6025554821
EML1	-2.0509259367	2.5019798751	-6.6185986283	1.25E-10	2.89E-09	13.538652451
BLM	2.1754474435	2.9129283714	6.6116295461	1.30E-10	3.01E-09	13.7461138004
SSBP2	-1.5641644125	2.9640010356	-6.6100910202	1.31E-10	3.03E-09	13.4477818035
FANCI	1.7873927767	4.9482407455	6.6076745229	1.33E-10	3.07E-09	13.5465031874
SFRP2	-6.3523373886	3.5011275125	-6.6038874263	1.36E-10	3.13E-09	13.4362277974
DGKG	-2.5210674988	0.1930847064	-6.5994421265	1.40E-10	3.21E-09	13.618737172
WNT9A	-2.0515907573	1.7410211762	-6.5931783823	1.45E-10	3.33E-09	13.4541393656
KLF6	-1.7523622203	6.9164773051	-6.5919098427	1.46E-10	3.35E-09	13.293518485
RECQL4	2.6070266653	4.7203860953	6.5902112906	1.48E-10	3.37E-09	13.5379287468
EME1	2.7697375664	1.637251254	6.5901561749	1.48E-10	3.37E-09	13.5941430755
H2AFX	1.6529840714	5.7097604303	6.5825152675	1.55E-10	3.52E-09	13.2785079904
LRCH1	-1.0531397683	3.63212983	-6.5824147914	1.55E-10	3.52E-09	13.2629934059
PCSK5	-2.2487303732	1.5643251739	-6.5745026892	1.63E-10	3.68E-09	13.3970119017
RP11-617F23.1	-1.4952900401	0.7955662079	-6.5712691459	1.66E-10	3.75E-09	13.4397414303
PROS1	-1.8972310455	2.8450844782	-6.5699664596	1.67E-10	3.77E-09	13.235587652
CYP27A1	-2.2619149242	2.7195590605	-6.569641924	1.68E-10	3.77E-09	13.2257640849
TNFSF12	-1.5728694193	3.2563630665	-6.5634789991	1.74E-10	3.91E-09	13.1654456403
UHRF1	3.3778019492	3.8172878831	6.5610554197	1.76E-10	3.96E-09	13.4582845701
KCNJ8	-2.1762786404	1.3624987036	-6.5571683533	1.81E-10	4.05E-09	13.3204302151
CCNB1	2.5713464986	5.2497126342	6.540439108	2.00E-10	4.46E-09	13.1930697339
CDCA3	3.0625430894	3.7952249721	6.5392118074	2.01E-10	4.49E-09	13.3234894459
FLNA	-2.9225155688	8.8445014968	-6.5334273465	2.08E-10	4.64E-09	13.0545397508
PKD1	-1.1789464809	4.9948461106	-6.528453807	2.15E-10	4.77E-09	12.8715152635
FBXL6	1.7152642964	4.4671883976	6.5204226476	2.25E-10	5.00E-09	13.0613715359
PPP1R14B	1.3475642482	6.3903647335	6.5129823342	2.35E-10	5.22E-09	12.8013506272
CENPF	2.9527759964	5.4133345083	6.5084321151	2.42E-10	5.35E-09	13.0423159097
PDE3A	-1.9093278291	0.9393949223	-6.5038047452	2.49E-10	5.50E-09	13.0569163876
HSPA12B	-1.7627266703	1.494070119	-6.5028763606	2.50E-10	5.52E-09	13.0134142823
TRMU	1.1301368687	4.5252314833	6.4895769259	2.71E-10	5.96E-09	12.7992276165
LBX2	2.2702250162	-0.0622200183	6.4866326181	2.76E-10	6.06E-09	12.9887074778
FAM46A	-1.4952352658	3.9004230487	-6.4862156916	2.76E-10	6.07E-09	12.6575673173
KIAA0513	-1.6097505226	3.2500328109	-6.4772472258	2.91E-10	6.39E-09	12.6296089679
ZKSCAN4	1.122066704	1.7884324024	6.4766595101	2.93E-10	6.40E-09	12.9687089247
TONSL	1.7878341238	4.5459873425	6.473961289	2.97E-10	6.50E-09	12.7987299151
KAT2A	1.2320540542	5.9627844481	6.4683497332	3.07E-10	6.71E-09	12.5555028104
CDCA8	3.1491600791	4.0564483872	6.4621651802	3.19E-10	6.94E-09	12.8791369401
CAP2	-1.9991095616	1.9552653851	-6.462161972	3.19E-10	6.94E-09	12.6730741155
KLHL15	-1.0266832459	2.3531040857	-6.4587926984	3.25E-10	7.06E-09	12.6781093033
ATP8B4	-1.937146333	0.3541000385	-6.4575360515	3.28E-10	7.11E-09	12.8242914697
HYAL1	-2.1720260062	0.3318213321	-6.4570916336	3.29E-10	7.11E-09	12.8200899383
LPAR1	-1.8989231764	2.9952996328	-6.4534792224	3.36E-10	7.26E-09	12.5079233373
STMN1	1.7297346087	7.340840478	6.4497381216	3.43E-10	7.41E-09	12.4197545797
DLC1	-1.823487885	3.4357331743	-6.4419962382	3.59E-10	7.75E-09	12.4244597609
SGO1	3.1893174926	2.279260995	6.4411798055	3.61E-10	7.77E-09	12.7574627455
KIF2C	3.0471634567	4.6255093012	6.4395394985	3.65E-10	7.84E-09	12.7147045087
DNAJC18	-1.1632762443	1.9047745452	-6.438125778	3.68E-10	7.88E-09	12.6025758956
NME1	1.3915605287	5.72352974	6.4380012754	3.68E-10	7.88E-09	12.417468956
INHBB	-1.9669838356	2.0471527826	-6.4369239561	3.70E-10	7.92E-09	12.550830997
ALDH2	-2.7216745967	4.4677471213	-6.4251646875	3.97E-10	8.47E-09	12.2855264037
NEK2	3.5992945919	3.3690633848	6.4220902156	4.05E-10	8.61E-09	12.665548426
SPAG5	2.5229488616	4.8134544032	6.4213592284	4.06E-10	8.63E-09	12.5577375919
CREB3L1	-2.6271482179	3.5523052551	-6.4155557084	4.20E-10	8.90E-09	12.2751201897
LINC00865	-1.9434665165	1.4816834252	-6.4154223677	4.21E-10	8.90E-09	12.4354413963
DDX39A	1.174620052	6.0142629668	6.4146415834	4.23E-10	8.93E-09	12.2406278307
BIRC5	3.3087960472	5.1015363847	6.4127986334	4.27E-10	9.02E-09	12.5539319431
TTK	3.4126342896	3.3699766752	6.4039208495	4.50E-10	9.47E-09	12.5648835592
MBNL1	-1.0331088886	6.1137027057	-6.4027762727	4.54E-10	9.52E-09	12.14811529
VAMP2	-1.0652993002	4.8971337342	-6.3962242516	4.71E-10	9.87E-09	12.1069638064
SERINC1	-1.0692132446	6.2436200535	-6.3948276571	4.75E-10	9.94E-09	12.1064677662
IQGAP3	3.5343596588	4.4328431415	6.3941296061	4.77E-10	9.96E-09	12.4889617654
MSX1	-2.0707953394	1.0295402037	-6.3929259738	4.81E-10	1.00E-08	12.3894760551
CCNF	1.7591302934	4.2945440332	6.3875564192	4.96E-10	1.03E-08	12.3295780477
KIAA1755	-3.2018069883	0.2170738133	-6.3868585262	4.98E-10	1.03E-08	12.4264575597
ENPP1	-2.575237905	0.4710257778	-6.3867937546	4.98E-10	1.03E-08	12.409410282
PARVA	-1.3258043928	5.2222712223	-6.380329929	5.18E-10	1.07E-08	12.0125600561
AR	-3.0731879903	1.9198549531	-6.3743376348	5.36E-10	1.11E-08	12.1013889601
ECSCR	-1.779090622	0.3573968418	-6.3716342388	5.45E-10	1.13E-08	12.3373114065
PAFAH1B3	2.1215368487	5.3199167413	6.3706607967	5.48E-10	1.13E-08	12.1452724803
CCL21	-4.4018097877	0.2869725699	-6.3701399389	5.50E-10	1.13E-08	12.2449384732
CHRD	-2.0830187022	0.5967446098	-6.369583795	5.52E-10	1.13E-08	12.3083172884
TCEAL1	-1.1869215161	3.4693954421	-6.3669989871	5.60E-10	1.15E-08	12.0030304
TEK	-1.7677699716	1.3613438571	-6.3652044932	5.66E-10	1.16E-08	12.2190890957
ITGA5	-2.6623873124	6.0002995059	-6.3642140252	5.69E-10	1.16E-08	11.9517709485
SKA1	3.2725849628	2.8547918282	6.3502361834	6.18E-10	1.26E-08	12.2611268134
DDX11	1.6335576191	4.4881844264	6.3495260299	6.21E-10	1.27E-08	12.0692646268
REEP2	-2.2966239745	0.5333667723	-6.3474141229	6.28E-10	1.28E-08	12.1645279033
NFATC4	-1.7359701422	3.7824371214	-6.3469421003	6.30E-10	1.28E-08	11.854222018
C19orf48	1.4802207837	5.7563733478	6.3393439869	6.59E-10	1.34E-08	11.8569613558
NUSAP1	2.9503417079	4.7648149738	6.3377734591	6.65E-10	1.35E-08	12.1193203483
SETD7	-1.2319579469	5.1367151266	-6.3318496438	6.88E-10	1.39E-08	11.7358030204
GRK5	-1.5408370958	2.8909611814	-6.329258527	6.99E-10	1.41E-08	11.8467063432
ESM1	4.8847611906	2.1942265367	6.328808201	7.01E-10	1.41E-08	12.1191495645
PLEKHO2	-1.4422430037	4.311417931	-6.323079778	7.25E-10	1.46E-08	11.7056804415
EFEMP1	-3.700896739	3.4588308903	-6.3229968715	7.25E-10	1.46E-08	11.7468487268
NR2F1-AS1	-2.0543565594	0.7357884083	-6.318389712	7.45E-10	1.49E-08	12.0030631336
TMC6	1.6436041269	6.0630354718	6.3173923606	7.49E-10	1.50E-08	11.7163483212
AKT3	-1.9836477753	3.3317195532	-6.3168569773	7.52E-10	1.50E-08	11.7133829726
RGS5	-2.580691582	5.2533536835	-6.3049077894	8.06E-10	1.61E-08	11.6080918553
LRIG1	-2.4090828476	2.9494714837	-6.3042337703	8.09E-10	1.61E-08	11.6934896586
TMX4	-1.2151750435	4.7920378629	-6.2931170451	8.63E-10	1.72E-08	11.5184804143
TEAD1	-1.470373697	5.0342749525	-6.2878171872	8.90E-10	1.77E-08	11.4855274673
TRPC1	-1.7700870823	1.1005658139	-6.2873807441	8.93E-10	1.77E-08	11.8171209955
MEIS2	-1.5200129664	3.2216385933	-6.2832835593	9.14E-10	1.81E-08	11.5367650335
ALG3	1.0645046977	5.5684300465	6.2762230683	9.53E-10	1.88E-08	11.4791743979
AURKB	3.6726110229	4.109674016	6.2742617462	9.64E-10	1.90E-08	11.8323843108
STEAP4	-2.6721992566	2.6190335734	-6.2714556495	9.79E-10	1.93E-08	11.4995625469
SGCB	-1.5167470395	3.9108964664	-6.2643053669	1.02E-09	2.01E-08	11.3948758374
SPC25	2.8176651816	2.1865795851	6.2624715982	1.03E-09	2.03E-08	11.7709188859
RAD54L	3.0387778331	2.6555072257	6.2619930993	1.03E-09	2.03E-08	11.770561636
SEMA3A	-2.5233169068	1.2777960391	-6.2594272147	1.05E-09	2.06E-08	11.5917348018
CDC20	3.4759861086	5.3281755537	6.2564366873	1.07E-09	2.09E-08	11.660714109
KIAA0101	2.9452818771	4.0511465922	6.2485823451	1.12E-09	2.18E-08	11.6687734988
XRCC2	2.4965255452	2.1585446652	6.2443010766	1.15E-09	2.23E-08	11.6738199614
ITPRIP	-1.7079644365	4.6251724943	-6.2419442623	1.16E-09	2.26E-08	11.2356397047
DYRK3	-1.4817070939	1.2514495673	-6.2415879916	1.16E-09	2.26E-08	11.554667021
CLMP	-2.6777813742	2.7951382826	-6.240319465	1.17E-09	2.28E-08	11.3425520662
SOX7	-2.3076543244	1.6742768767	-6.2385574416	1.19E-09	2.30E-08	11.4193420755
CENPA	3.5496530002	2.4597020519	6.2371286152	1.20E-09	2.31E-08	11.6238283015
RDM1	3.1609701308	0.1046439492	6.2366377082	1.20E-09	2.32E-08	11.6041781808
TIMELESS	1.4547449266	5.1844012796	6.2352551328	1.21E-09	2.33E-08	11.3317084259
LIX1L	-1.4604534073	3.7378226877	-6.233387847	1.22E-09	2.35E-08	11.2379921213
TMPO-AS1	2.1651305433	1.3121938944	6.2299758128	1.25E-09	2.39E-08	11.5890747108
THBS1	-2.8959402467	7.0461130881	-6.2249179394	1.28E-09	2.45E-08	11.2080904183
CDIP1	-1.9740335606	2.9852757862	-6.2242945834	1.29E-09	2.46E-08	11.2065339979
ADARB1	-1.850488283	3.6671985136	-6.2231370289	1.30E-09	2.47E-08	11.1625349931
SLC25A39	1.0162896668	7.1004323325	6.2225827341	1.30E-09	2.48E-08	11.1146162354
C2orf88	-1.8549388507	0.4343391225	-6.2192438756	1.33E-09	2.52E-08	11.4437008696
RAB3IL1	-2.0452828983	1.9698602993	-6.2169189677	1.34E-09	2.55E-08	11.3329181676
TARSL2	-1.0235063757	2.2931334806	-6.2149725548	1.36E-09	2.57E-08	11.2978556556
GPR155	-1.6003550108	1.8793223538	-6.2138722768	1.37E-09	2.59E-08	11.3186927431
KRT18	2.4780491645	8.8625844677	6.2105849345	1.39E-09	2.63E-08	11.0583590509
TSHZ2	-1.9798302008	1.8676139122	-6.2081775655	1.41E-09	2.67E-08	11.2329620129
DEPDC1B	3.0352668131	2.5698305568	6.199966535	1.48E-09	2.79E-08	11.4307618765
CHTF18	1.9386319505	4.2885748348	6.1993870721	1.49E-09	2.79E-08	11.2753699846
DPYSL3	-2.9782952346	5.4234634822	-6.1993448844	1.49E-09	2.79E-08	11.0090803585
GFPT2	-3.3209617222	1.612084748	-6.1985217023	1.49E-09	2.80E-08	11.2365760302
APOD	-3.3063358757	2.8839822589	-6.1887321331	1.58E-09	2.96E-08	10.9890912461
EPHX2	-2.1874993261	2.1310526868	-6.1816392558	1.65E-09	3.08E-08	11.018716195
SNCA	-2.2870780931	0.2746807966	-6.1760778126	1.70E-09	3.17E-08	11.2203865727
TACC2	-1.7034525346	4.8838840978	-6.1732285877	1.73E-09	3.22E-08	10.8418038568
CDT1	2.990577427	4.2388067262	6.1726841646	1.73E-09	3.22E-08	11.2380331981
IER3	-2.3326740753	5.2805625352	-6.1690766998	1.77E-09	3.29E-08	10.8320107663
PER3	-1.6666353704	3.0406055861	-6.1668292076	1.79E-09	3.32E-08	10.8891076308
SMUG1	1.1340021314	4.6847829189	6.1639441362	1.82E-09	3.37E-08	10.9356975398
IGFBP6	-2.7383747247	3.4397001267	-6.1611035714	1.85E-09	3.42E-08	10.8190195832
BCL2L2	-1.0884695387	4.7435465056	-6.1600179257	1.86E-09	3.44E-08	10.7689736598
C10orf128	-1.9371715891	1.1861557524	-6.1585219875	1.88E-09	3.46E-08	11.0611966381
STXBP2	1.4393665902	5.7437794079	6.1572442395	1.89E-09	3.49E-08	10.8214097389
POLQ	3.0366784173	2.8551911558	6.1435735409	2.05E-09	3.75E-08	11.1233721962
CENPO	1.6007870655	3.2361989294	6.143302406	2.05E-09	3.75E-08	11.0492391991
BUB1B	3.1173558467	3.6154316411	6.1432714456	2.05E-09	3.75E-08	11.1104383149
ARHGAP39	1.6129288422	3.3556610426	6.1415436482	2.07E-09	3.78E-08	11.0260462957
PRDM5	-2.2876380876	0.0236781312	-6.1405004949	2.09E-09	3.80E-08	11.0627199432
CDC45	3.159065015	3.483024332	6.1377439827	2.12E-09	3.85E-08	11.0850848072
PPP3CC	-1.0233688278	3.0297958008	-6.1320110727	2.19E-09	3.97E-08	10.7615680647
ECM2	-2.0370113881	1.0329448467	-6.1309305143	2.20E-09	3.99E-08	10.94592736
LRRC32	-2.0634395628	3.7902806137	-6.1273418126	2.25E-09	4.07E-08	10.6377362715
MYO19	1.2501501406	5.1071864072	6.122175866	2.32E-09	4.18E-08	10.6847438452
NCS1	-1.6490614509	4.7674164685	-6.1218032849	2.32E-09	4.19E-08	10.5559163492
RAD51	2.3513542397	3.0890377116	6.1187123597	2.36E-09	4.26E-08	10.9705642407
MAPK13	1.6795046912	6.1999666202	6.1170931048	2.38E-09	4.29E-08	10.5774901666
GLIPR2	-2.0952529444	3.1455430881	-6.1166253095	2.39E-09	4.30E-08	10.6198093829
MGP	-3.4158440679	5.5355052041	-6.1161288129	2.40E-09	4.30E-08	10.5607530364
CCDC136	-1.9574994738	0.5201133812	-6.1159747056	2.40E-09	4.30E-08	10.8877584365
ORC6	2.6910845102	3.0924490292	6.1158773725	2.40E-09	4.30E-08	10.9628367865
EFCC1	-1.9500562073	0.2812497804	-6.1133069312	2.44E-09	4.35E-08	10.8793488124
SPG20	-1.3270858194	4.7622119362	-6.1119203154	2.46E-09	4.38E-08	10.5035188403
AURKA	2.7387319177	4.1339943497	6.1095898583	2.49E-09	4.43E-08	10.8793277995
KIFC1	2.8158854365	4.6450092042	6.1094506373	2.49E-09	4.43E-08	10.8423357429
ACTL6A	1.0464762615	5.4513108468	6.1086256737	2.50E-09	4.45E-08	10.5476257867
NGFR	-2.7825661671	0.9412931028	-6.1065547957	2.53E-09	4.50E-08	10.7163883712
SGCE	-2.1568837202	2.6999411516	-6.0991186539	2.64E-09	4.69E-08	10.550929206
FAM46C	-1.7356221261	2.7357830109	-6.0947444366	2.71E-09	4.79E-08	10.5216481459
ADGRL4	-1.4983696432	2.9220587663	-6.0940503955	2.72E-09	4.80E-08	10.5302710195
SLC16A7	-1.9426299561	2.134403956	-6.0929273917	2.74E-09	4.83E-08	10.5467950896
MAFF	-1.7232346296	5.1212486844	-6.0897344924	2.79E-09	4.90E-08	10.3796923671
MOXD1	-2.7364214405	2.0514275793	-6.0866844563	2.83E-09	4.98E-08	10.5810872819
SLC25A4	-1.1858495677	4.0219528794	-6.0838025125	2.88E-09	5.05E-08	10.3695091411
SEPP1	-2.3509467042	3.4611338985	-6.0815724828	2.92E-09	5.11E-08	10.3639481069
OIP5	2.4478138466	1.1960997163	6.0791259512	2.96E-09	5.18E-08	10.7642321601
TPST1	-1.5822093656	3.6978753944	-6.0723758007	3.07E-09	5.36E-08	10.3496911414
CENPM	2.7511927789	3.0888882198	6.0722196159	3.08E-09	5.36E-08	10.7288036673
TNFAIP6	-2.9147143404	0.6421112478	-6.0713900056	3.09E-09	5.38E-08	10.6467441674
MID2	-1.1880822031	1.8881165511	-6.0602976507	3.29E-09	5.72E-08	10.4741906103
GLT8D2	-2.1680815516	1.9018067425	-6.0599731934	3.30E-09	5.72E-08	10.4722912575
PI15	-2.9115504982	0.4160016897	-6.0565838064	3.36E-09	5.82E-08	10.5559684469
GAS1	-3.2026014773	1.5294001238	-6.0547157821	3.40E-09	5.88E-08	10.4589409971
CNKSR3	-1.6039061405	2.7626968152	-6.0524503567	3.44E-09	5.95E-08	10.264880825
KIAA1462	-1.9634262914	3.7771509407	-6.0501119388	3.49E-09	6.01E-08	10.2058560641
RRM2	3.0451037548	5.4600829023	6.0464258727	3.56E-09	6.13E-08	10.4550901918
CCNA2	2.755573053	4.2092734514	6.0452944853	3.58E-09	6.16E-08	10.5243439622
BUB1	2.6476441748	4.2869174976	6.0388726993	3.72E-09	6.38E-08	10.4833955532
RNASEH2A	1.583573011	4.7306503491	6.0361898137	3.77E-09	6.47E-08	10.2966596881
SNHG1	1.3944111663	5.1170180062	6.0326268869	3.85E-09	6.60E-08	10.1907209462
CENPK	2.5421455114	2.4041899561	6.0283606704	3.94E-09	6.75E-08	10.5005696613
NCAPG	3.269957021	3.6198853486	6.0253231187	4.01E-09	6.84E-08	10.4734916163
ARHGEF15	-1.4571907723	2.2167328067	-6.0157789807	4.23E-09	7.21E-08	10.187491721
SPINT1	2.2877651497	7.5466854212	6.0142131656	4.27E-09	7.26E-08	9.9776276963
ENTPD1	-1.2599973733	4.7566088274	-6.0105883977	4.36E-09	7.40E-08	9.9479203986
DOCK11	-1.8662996846	2.2401202218	-6.0044445045	4.51E-09	7.65E-08	10.1059208026
SLC16A2	-1.9022569244	2.0324657265	-6.0020943679	4.57E-09	7.74E-08	10.1314137897
ZNF106	-1.0799100292	4.8008449	-5.9974844983	4.69E-09	7.92E-08	9.8716311516
RAB27A	-1.2509106191	3.6189008314	-5.9973647034	4.70E-09	7.92E-08	9.9398004522
CYB561	1.1620379437	6.2707527391	5.994718777	4.77E-09	8.03E-08	9.8729735059
GNA14	-2.1592792593	0.8140064596	-5.9918871879	4.84E-09	8.15E-08	10.1492839306
CBX8	1.5725111407	2.9528660931	5.9898129869	4.90E-09	8.23E-08	10.2269860947
SELM	-2.3578229367	4.4413397913	-5.9854331057	5.02E-09	8.43E-08	9.8154739236
SLC25A23	-1.7773763959	4.2250437356	-5.9838152951	5.07E-09	8.49E-08	9.8021454872
NCAPH	3.1467897601	3.5505384417	5.9807615619	5.15E-09	8.63E-08	10.2352931849
ANGPTL2	-2.2033530162	4.3196721447	-5.9775306861	5.25E-09	8.78E-08	9.7801937192
UGCG	-1.3239900962	5.3694170818	-5.9725296783	5.40E-09	9.02E-08	9.7326656216
RGS1	-2.7737243403	4.1224068218	-5.9667747379	5.57E-09	9.30E-08	9.730965032
UBE2T	2.0394623698	3.6840232711	5.965541441	5.61E-09	9.35E-08	10.0899917495
PARM1	-2.2114356676	3.7427186132	-5.9557556589	5.93E-09	9.84E-08	9.6571656128
KIAA0907	1.3169593703	5.0094225404	5.9549977605	5.95E-09	9.87E-08	9.7617141543
PLK4	2.0002255838	3.0119845679	5.9524260199	6.04E-09	1.00E-07	10.0543986247
SH3BP2	1.1613209127	5.3337438004	5.9519972451	6.06E-09	1.00E-07	9.6947891185
CPEB3	-1.0825931966	1.4246786395	-5.9507348269	6.10E-09	1.01E-07	9.9436401233
SLC38A7	1.0865995239	4.2992945382	5.9448401882	6.30E-09	1.04E-07	9.7988150552
SERINC2	2.7313720147	7.8878169053	5.9441015485	6.33E-09	1.04E-07	9.5914676709
CCDC189	1.9011804189	-0.0071093783	5.9341903101	6.69E-09	1.10E-07	9.9900641167
MIR24-2	-1.7511691941	3.5965403269	-5.9332935858	6.72E-09	1.10E-07	9.5676235557
THSD7A	-2.1566914499	0.7430865536	-5.9315689695	6.79E-09	1.11E-07	9.8631869547
CCDC3	-1.6622660243	3.1657636914	-5.9255266628	7.02E-09	1.15E-07	9.5618229566
CDCA2	2.964098673	2.379352743	5.9253167542	7.03E-09	1.15E-07	9.9551497874
POLD1	1.3567891001	4.760476771	5.9242297754	7.07E-09	1.15E-07	9.6569142733
NCKAP1L	-2.393970392	2.8134803691	-5.9230104443	7.12E-09	1.16E-07	9.5701226729
SYNPO	-1.7682126855	5.1622036269	-5.9215601201	7.18E-09	1.17E-07	9.4587314541
GSG2	2.6496445064	0.9997587141	5.9157120473	7.41E-09	1.20E-07	9.8959724536
PSMG3	1.2977609534	5.0766673378	5.9128719793	7.53E-09	1.22E-07	9.5506466585
FANCD2	1.7946748735	4.1369233417	5.9113604017	7.59E-09	1.23E-07	9.7267130196
PKMYT1	3.3011279703	3.684953392	5.9092230361	7.68E-09	1.24E-07	9.8562119121
KIT	-2.4099461987	1.7821357344	-5.9084638416	7.72E-09	1.24E-07	9.5424640937
CDC6	2.4394574956	4.3592103577	5.9082661464	7.73E-09	1.24E-07	9.7571229471
PRX	-1.240563572	1.6273951977	-5.9080003742	7.74E-09	1.24E-07	9.6821884032
TGFBR2	-1.5784770747	5.4981511562	-5.9067299682	7.79E-09	1.25E-07	9.3808987491
FANCA	2.2436328393	3.6020276579	5.9016066781	8.02E-09	1.28E-07	9.7678057374
CDC42EP2	-1.5073873786	3.2094735136	-5.8984043871	8.16E-09	1.31E-07	9.4183220885
SDC2	-2.047099401	4.3145370405	-5.896586025	8.24E-09	1.32E-07	9.3318578892
DMPK	-1.2517738684	4.9859989211	-5.8963285211	8.25E-09	1.32E-07	9.3185675505
MGME1	1.0518133359	4.3168457096	5.8956369374	8.29E-09	1.32E-07	9.5204793449
CCDC150	2.2885861155	0.8266052733	5.8913406622	8.49E-09	1.35E-07	9.7691409377
GINS1	2.4082007514	3.8479974426	5.8908425994	8.51E-09	1.35E-07	9.7038561736
CAPN10-AS1	1.6827956368	0.287379577	5.88759839	8.66E-09	1.38E-07	9.7521386374
TRAIP	1.8795200803	2.6556603732	5.8831362349	8.88E-09	1.41E-07	9.6994222059
ATL1	-1.4486350577	1.601098548	-5.8825683961	8.91E-09	1.41E-07	9.5462508532
MCL1	-1.1839894455	8.0710600884	-5.881819792	8.95E-09	1.41E-07	9.3252641669
DTL	2.6669542416	3.3465073679	5.880260538	9.02E-09	1.42E-07	9.693448419
PQLC2	1.1419606762	3.9027846385	5.8767312527	9.20E-09	1.45E-07	9.4837378882
GEN1	1.4531089908	3.6214716576	5.8710528282	9.49E-09	1.49E-07	9.5171299163
LSAMP	-2.2232637706	1.1574345069	-5.870984739	9.50E-09	1.49E-07	9.5079435701
SPC24	2.6745502192	3.4741524714	5.8699190473	9.55E-09	1.50E-07	9.6268504416
ISL2	2.9412799027	-0.0810857843	5.8681256773	9.65E-09	1.51E-07	9.6453496479
PCDH7	-2.9125704553	2.956610337	-5.8657992968	9.77E-09	1.53E-07	9.2218881713
KNL1	2.7457802724	3.2762329634	5.8598436964	1.01E-08	1.58E-07	9.5883623038
PLXNA1	1.3288399832	6.3454990265	5.8580257995	1.02E-08	1.59E-07	9.129103088
SYNE3	-1.644969395	1.4448406906	-5.8577230587	1.02E-08	1.59E-07	9.4033895906
IL34	-1.8703296843	0.8680840938	-5.8532937249	1.05E-08	1.63E-07	9.4432538154
MAP3K8	-1.4312056706	3.6138700226	-5.8491125941	1.07E-08	1.67E-07	9.1146926849
NAT9	1.0064668824	4.7475068416	5.8475746121	1.08E-08	1.68E-07	9.1887381275
C1orf21	-1.4385673971	4.9406748283	-5.8357954765	1.15E-08	1.79E-07	8.9946850102
ADCY9	-1.4454545669	3.2621736984	-5.8332859508	1.17E-08	1.81E-07	9.0747764413
XRCC3	1.3537195031	3.7025140187	5.8310962904	1.18E-08	1.83E-07	9.2804083048
MYBL2	4.0540196157	5.4458031376	5.824221387	1.23E-08	1.90E-07	9.358135509
ARHGAP11B	1.8838431412	2.0231923791	5.8236630273	1.23E-08	1.90E-07	9.4093514945
WDCP	1.0293050611	2.9252531311	5.8234983437	1.23E-08	1.90E-07	9.2868754305
KANK3	-1.4587258687	1.1510521659	-5.8233113702	1.24E-08	1.90E-07	9.2889425108
PDLIM4	-2.4020114532	2.9326287865	-5.8230476005	1.24E-08	1.90E-07	9.0185274668
HMMR	2.984962138	3.3079478791	5.8201933578	1.26E-08	1.93E-07	9.3894107881
MAPRE2	-1.5089167901	3.778417483	-5.8200283473	1.26E-08	1.93E-07	8.9563186981
PARPBP	1.7863931875	2.4818904277	5.8177573941	1.27E-08	1.95E-07	9.3595894805
CCNB2	2.6878867834	4.4507987271	5.8171108711	1.28E-08	1.95E-07	9.2824276269
CHRDL2	-3.8831037429	0.4069783844	-5.8165678141	1.28E-08	1.96E-07	9.2490159941
NLRP3	-2.2257204818	0.0409870956	-5.8151984757	1.29E-08	1.97E-07	9.3142642289
DENND5A	-1.1311163873	4.6508335809	-5.8146800504	1.30E-08	1.97E-07	8.8930812331
VCL	-1.3559152304	6.7241823716	-5.8130546758	1.31E-08	1.99E-07	8.9064588077
NEIL3	3.0093527004	0.6647437487	5.8127908538	1.31E-08	1.99E-07	9.3602131941
UTRN	-1.5803705855	4.2896631257	-5.8120422034	1.31E-08	2.00E-07	8.8791548032
TFAP4	1.3033063827	3.6177259516	5.8118815096	1.32E-08	2.00E-07	9.1795814002
KIF11	2.2901819482	4.4612932475	5.8102775873	1.33E-08	2.01E-07	9.2065707149
ZNF707	1.027783953	3.4030053583	5.806003627	1.36E-08	2.06E-07	9.1435539962
LMNB1	1.8465483887	5.2539037449	5.8032713923	1.38E-08	2.09E-07	9.0198835803
CPXM1	-2.7452355354	3.0425285809	-5.8028777664	1.38E-08	2.09E-07	8.9427134982
GTPBP3	1.027308761	4.0302235486	5.7988594631	1.41E-08	2.13E-07	9.039332227
